a,b,c,f
-0.016638341,-0.077754874,-1.119741213,0.000109283
-0.011597661,-0.041609512,-5.3501828,0.000177585
0,0,0,0
0.925490633,1.099988305,-1.113416457,1.100015626
1.093786494,1.099974645,-0.606684723,1.100015626
1.107610797,1.100042947,-0.210479109,1.099947324
1.102638419,1.100029287,-0.073328911,1.100001966
1.101163098,1.075426945,-0.024643323,1.100029287
1.070809737,0.542699511,-0.003715623,1.099960985
1.500852108,0.290460625,-0.009575925,1.298938056
0.205233524,-1.100001966,-1.094209965,0.258181151
0.150469067,-1.099988305,-1.115492835,0.090008233
0.041472909,-1.099988305,-1.115697741,0.031391549
0.001516302,-1.100001966,-1.113279854,0.010969284
9.56E-05,-1.099988305,-1.113607703,0.003797585
-0.002718415,-1.099988305,-0.950530106,0.001325057
0.001420679,-1.690362537,-0.570402758,0.000724
-0.020982341,-1.100015626,-1.097952909,2.73E-05
0.021720002,-1.663451591,-1.423944178,-0.000286868
-0.217322959,1.100029287,1.024419092,-0.258140169
-0.140496991,1.100015626,1.08677872,-0.089939931
-0.034560757,1.100042947,1.086669437,-0.031377889
-0.001693887,1.100042947,1.085071172,-0.010928303
1.37E-05,1.099988305,1.085330719,-0.003838566
-0.000683019,1.100042947,1.085562946,-0.001284076
-0.000327849,1.100015626,1.085590267,-0.000491774
-0.000122943,1.099960985,1.085644908,-0.000150264
-0.000122943,1.100029287,1.085863474,-6.83E-05
-0.000136604,1.100015626,1.085986418,-4.10E-05
-0.004794793,1.025990036,1.087652984,2.73E-05
-0.022539624,0.454781316,1.09474272,1.37E-05
0.006570642,0.158583332,1.089524456,5.46E-05
0.017239397,0.084830949,4.010495835,-0.000191245
-0.956431389,-1.099947324,1.095903852,-1.100562041
-1.088841437,-1.099974645,1.085043852,-1.10013857
-1.103294117,-1.099988305,1.083650493,-1.10015223
-1.097597739,-1.099988305,1.085480984,-1.100124909
-1.09619072,-1.099974645,1.085276078,-1.10015223
-1.096204381,-1.100001966,1.084579399,-1.100193211
-1.096108758,-1.100015626,1.084210568,-1.10015223
-1.096081437,-1.100001966,1.083882719,-1.100111249
-1.095999475,-1.100042947,1.083568531,-1.10016589
-1.095890192,-1.100042947,1.08318604,-1.100234192
-1.095739928,-1.100015626,1.08281721,-1.100124909
-1.093759173,-1.065673435,1.081642417,-1.100111249
-1.065618794,-0.518069849,1.071424454,-1.100234192
-1.079661662,-0.180631183,1.074101888,-1.100247853
-1.099619475,-0.062974344,0.628787215,-1.100247853
-1.10699608,-0.021952228,0.21842945,-1.100111249
-4.196659471,-0.011747925,0.113517744,-3.956400737
-0.860221345,-1.099960985,1.091614494,-1.100398117
-1.063077963,-1.100042947,1.081915625,-1.100275173
-1.107187325,-1.099988305,1.079238191,-1.10016589
-1.099551173,-1.100015626,0.819909568,-1.100193211
-0.935831539,-1.099974645,0.297768927,-0.694179446
-0.401437538,-1.707055519,0.153761219,-0.371931121
-0.037634342,-1.100001966,-1.090699248,0.000109283
0.0216517,-1.09292589,-1.119563628,-0.000109283
0.040011248,-0.603488194,-1.137977818,-0.000122943
0.004876755,-0.210410808,-1.129672308,2.73E-05
-0.016802265,-0.073369892,-1.119672911,4.10E-05
-0.010873661,-0.039300908,-5.383254575,0.000232226
0,0,0,0
0.925613576,1.100001966,-1.113443778,1.099988305
1.093786494,1.100001966,-0.606684723,1.099988305
1.107583476,1.099988305,-0.210451789,1.099988305
1.10266574,1.100001966,-0.073328911,1.100042947
1.101204079,1.075454266,-0.024656983,1.099988305
1.070823398,0.542713171,-0.003674642,1.099974645
1.500660863,0.290460625,-0.009603246,1.298897074
0.205219864,-1.099988305,-1.094209965,0.258222132
0.150469067,-1.100001966,-1.115492835,0.090008233
0.041445588,-1.100015626,-1.115738722,0.03141887
0.001543623,-1.099974645,-1.113279854,0.010955623
9.56E-05,-1.099988305,-1.113635023,0.003770264
-0.002691095,-1.100001966,-0.950475465,0.001338717
0.001475321,-1.690348876,-0.570416418,0.000724
-0.021036983,-1.100015626,-1.097939249,-5.46E-05
0.019588983,-1.663451591,-1.424709159,0.000204906
-0.215984242,1.100001966,1.023831696,-0.258399717
-0.140018878,1.099988305,1.086874342,-0.090035554
-0.034342191,1.100001966,1.086683097,-0.031446191
-0.001652906,1.100015626,1.085098493,-0.010955623
5.46E-05,1.100029287,1.085303399,-0.003852227
-0.00071034,1.099988305,1.085576606,-0.001311396
-0.000314189,1.100029287,1.085617587,-0.000464453
-0.000122943,1.100015626,1.085658569,-0.000150264
-0.000136604,1.099988305,1.085836153,-1.37E-05
-0.000109283,1.099960985,1.085986418,-2.73E-05
-0.004822114,1.026031017,1.087639323,-2.73E-05
-0.022580605,0.454863278,1.094715399,6.83E-05
0.006611623,0.158624313,1.089510795,-2.73E-05
0.017307699,0.084830949,4.011711609,-0.000136604
-0.956540673,-1.099933664,1.095890192,-1.1005074
-1.088868757,-1.099974645,1.085153135,-1.100193211
-1.103458042,-1.100015626,1.083582191,-1.100234192
-1.097775324,-1.100001966,1.085426342,-1.100234192
-1.096395626,-1.100015626,1.085289738,-1.100179551
-1.096368305,-1.100015626,1.084565738,-1.100220532
-1.096300003,-1.100029287,1.084224229,-1.100206872
-1.096231701,-1.100015626,1.083869059,-1.100206872
-1.096067777,-1.100029287,1.083609512,-1.100288834
-1.095985815,-1.100015626,1.08317238,-1.100261513
-1.095958494,-1.099988305,1.082858191,-1.100193211
-1.095794569,-1.100029287,1.082489361,-1.10015223
-1.076273889,-0.767522017,1.075085436,-1.100247853
-1.07055019,-0.270844321,1.072189436,-1.100302494
-1.093062494,-0.094447856,0.928045123,-1.100302494
-1.106258419,-0.032921512,0.368707272,-1.100234192
-1.106067174,-0.011488378,0.125716462,-1.100275173
-4.743088265,-0.006119849,0.066362118,-4.50532938
-0.857407307,-1.100001966,1.091587173,-1.100370796
-1.062039774,-1.100001966,1.081901965,-1.100275173
-1.10736491,-1.100001966,1.078992304,-1.100234192
-1.099523853,-1.099988305,0.972209126,-1.094209965
-0.878294025,-1.100042947,0.407584709,-0.609348497
-0.326455722,-1.89664791,0.21157194,-0.326524023
-0.037648003,-1.100015626,-1.090630946,1.37E-05
0.02167902,-1.086587474,-1.119741213,-0.000177585
0.040503022,-0.573544645,-1.138838421,-0.000150264
0.004002491,-0.199974279,-1.129604006,4.10E-05
-0.01696619,-0.069749892,-1.11964559,0.000122943
-0.010422869,-0.037320154,-5.411408615,0.000204906
0,0,0,0
0.925722859,1.100001966,-1.113430118,1.099960985
1.093800154,1.100015626,-0.606712044,1.100015626
1.107610797,1.100001966,-0.210465449,1.099988305
1.102638419,1.100015626,-0.073328911,1.099960985
1.101135777,1.075413285,-0.024643323,1.099988305
1.070796077,0.542713171,-0.003715623,1.100015626
1.500729164,0.290460625,-0.009562265,1.299006357
0.205165222,-1.099974645,-1.094223626,0.258181151
0.150441747,-1.100029287,-1.115492835,0.090049214
0.041472909,-1.100015626,-1.115711401,0.031336908
0.001529962,-1.100029287,-1.113266193,0.010969284
6.83E-05,-1.100001966,-1.113635023,0.003797585
-0.002650113,-1.099988305,-0.950489125,0.001338717
0.00146166,-1.690280574,-0.570375437,0.000696679
-0.021036983,-1.100029287,-1.097952909,2.73E-05
0.023168002,-1.663451591,-1.425624404,-5.46E-05
-0.21807428,1.099988305,1.023216979,-0.258276773
-0.141302954,1.100029287,1.086997286,-0.090008233
-0.034547097,1.100015626,1.086642116,-0.031364229
-0.001598264,1.099988305,1.085098493,-0.010955623
1.37E-05,1.100001966,1.085303399,-0.003811246
-0.000683019,1.100001966,1.085576606,-0.001352377
-0.000327849,1.100001966,1.085617587,-0.000437132
-0.000150264,1.100015626,1.085644908,-0.000163925
-0.000122943,1.099988305,1.085836153,-6.83E-05
-0.000122943,1.100001966,1.085972757,-2.73E-05
-0.004808453,1.026044677,1.087652984,1.37E-05
-0.022553285,0.454863278,1.094770041,4.10E-05
0.006584302,0.158610653,1.089538116,-2.73E-05
0.017212077,0.084830949,4.013036666,-0.000122943
-0.956622635,-1.099947324,1.095876532,-1.100534721
-1.089005361,-1.099974645,1.085207776,-1.100220532
-1.103458042,-1.099974645,1.083486568,-1.100206872
-1.097666041,-1.100015626,1.085399021,-1.100206872
-1.096368305,-1.100029287,1.085317059,-1.100179551
-1.096395626,-1.100015626,1.084593059,-1.100261513
-1.096300003,-1.100029287,1.084237889,-1.100193211
-1.096259022,-1.100029287,1.083923701,-1.100247853
-1.096122418,-1.100029287,1.08354121,-1.100275173
-1.096026796,-1.100029287,1.083227021,-1.100179551
-1.095958494,-1.100029287,1.082871851,-1.100124909
-1.095780909,-1.100015626,1.08244838,-1.100261513
-1.09113638,-1.022725206,1.0803037,-1.100220532
-1.065058718,-0.450710523,1.070509209,-1.100302494
-1.08317238,-0.157148992,1.076260228,-1.100302494
-1.100794268,-0.054778117,0.70658307,-1.100275173
-1.107351249,-0.01912453,0.24587315,-1.100234192
-4.456124698,-0.010190642,0.127874802,-4.214062793
-0.853773646,-1.100015626,1.091546192,-1.100425438
-1.060905963,-1.100042947,1.081847323,-1.100261513
-1.10736491,-1.100001966,1.078732757,-1.100247853
-1.099592154,-1.100015626,0.980938108,-1.09292589
-0.875343384,-1.100015626,0.416136105,-0.60187627
-0.321497004,-1.861895907,0.216120846,-0.322453231
-0.03753872,-1.100015626,-1.090576305,2.73E-05
0.021883926,-1.078432228,-1.119946118,-0.000109283
0.040666946,-0.550936719,-1.139425818,-0.000150264
0.003292151,-0.19209224,-1.129535704,1.37E-05
-0.01697985,-0.066990495,-1.119536307,4.10E-05
-0.010067699,-0.035844833,-5.4361339,0.000245887
0,0,0,0
0.925845802,1.100015626,-1.113430118,1.100029287
1.093786494,1.099974645,-0.606753025,1.100042947
1.107569815,1.099988305,-0.21049277,1.099960985
1.102652079,1.100029287,-0.073315251,1.099974645
1.101190419,1.075413285,-0.024629662,1.099974645
1.070741435,0.542699511,-0.003715623,1.099960985
1.500619881,0.290474285,-0.009589586,1.298869754
0.20508326,-1.100001966,-1.094155324,0.258290434
0.150469067,-1.100001966,-1.115465514,0.090035554
0.041500229,-1.099988305,-1.11568408,0.031377889
0.001543623,-1.099988305,-1.113266193,0.010928303
0.000109283,-1.099974645,-1.113635023,0.003852227
-0.002677434,-1.100001966,-0.950530106,0.001338717
0.001448,-1.690403518,-0.570443739,0.000696679
-0.021050643,-1.100001966,-1.097925588,-2.73E-05
0.023932983,-1.663478912,-1.425638065,-1.37E-05
-0.218566053,1.100015626,1.023121357,-0.258304094
-0.14154884,1.100001966,1.087024606,-0.089980912
-0.034533436,1.099988305,1.086696757,-0.031377889
-0.001543623,1.100029287,1.085084833,-0.010941963
0,1.099988305,1.085330719,-0.003824906
-0.000696679,1.100029287,1.085576606,-0.001352377
-0.00035517,1.099988305,1.085590267,-0.000464453
-0.000150264,1.100001966,1.085658569,-0.000136604
-0.000122943,1.100001966,1.085808833,-6.83E-05
-0.000136604,1.099974645,1.085972757,-1.37E-05
-0.004808453,1.026058338,1.087639323,0
-0.022553285,0.454890599,1.09472906,1.37E-05
0.006597963,0.158624313,1.089510795,-4.10E-05
0.017294039,0.08484461,4.013173269,-0.000109283
-0.956964144,-1.099933664,1.095876532,-1.10052106
-1.088732154,-1.099988305,1.085057512,-1.100220532
-1.103471702,-1.099974645,1.083732455,-1.100220532
-1.097707022,-1.100029287,1.085508304,-1.100193211
-1.096245362,-1.100001966,1.085303399,-1.10016589
-1.096259022,-1.100029287,1.084552078,-1.100179551
-1.096259022,-1.100015626,1.084196908,-1.100206872
-1.096204381,-1.100029287,1.083951021,-1.10015223
-1.096040456,-1.100001966,1.08352755,-1.10013857
-1.095972154,-1.100042947,1.0831997,-1.100124909
-1.092338494,-1.040688603,1.081519474,-1.100179551
-1.064539624,-0.474247355,1.0716157,-1.100261513
-1.081205285,-0.16535888,0.986251995,-1.100288834
-1.102488155,-0.057660457,0.427392257,-1.10015223
-1.106381363,-0.020094417,0.146972011,-1.10016589
-5.331399779,-0.010750718,0.076798647,-5.09780731
-0.869264515,-1.100001966,1.09184672,-1.100411777
-1.066178869,-1.099974645,1.082188832,-1.100275173
-1.107323929,-1.100015626,1.079661662,-1.100220532
-1.099646796,-1.100015626,0.740693034,-1.100179551
-0.95787939,-1.100015626,0.260448773,-0.740652053
-0.440724786,-1.721672124,0.134336161,-0.399087953
-0.037866569,-1.100015626,-1.090863173,6.83E-05
0.021924907,-1.100042947,-1.119235779,-0.000122943
0.038795474,-0.662419066,-1.136229289,-0.000109283
0.006638944,-0.230969677,-1.129699628,0
-0.016570039,-0.08052793,-1.119741213,6.83E-05
-0.011720605,-0.043125814,-5.336740987,0.000232226
0,0,0,0
0.925941425,1.100015626,-1.113430118,1.100001966
1.093827475,1.099988305,-0.606712044,1.100001966
1.107597136,1.100001966,-0.210479109,1.099988305
1.10266574,1.099988305,-0.07330159,1.099988305
1.101190419,1.075454266,-0.024656983,1.100029287
1.070782417,0.542713171,-0.003729283,1.100015626
1.500319353,0.290460625,-0.009548604,1.298787791
0.205192543,-1.099988305,-1.094209965,0.258290434
0.150455407,-1.100015626,-1.115451854,0.090021893
0.041486569,-1.099988305,-1.115697741,0.03141887
0.001502642,-1.100001966,-1.113279854,0.010941963
0.000136604,-1.100015626,-1.113635023,0.003770264
-0.002677434,-1.100029287,-0.950516446,0.001366038
0.001448,-1.690280574,-0.570457399,0.000683019
-0.021077964,-1.099988305,-1.097925588,-1.37E-05
0.022963096,-1.663478912,-1.425679046,0
-0.217896695,1.100029287,1.023135017,-0.258276773
-0.141207331,1.100015626,1.087038267,-0.089967252
-0.034506116,1.100001966,1.086669437,-0.031391549
-0.001584604,1.100001966,1.085084833,-0.010982944
-1.37E-05,1.100015626,1.085330719,-0.003811246
-0.00073766,1.100015626,1.085590267,-0.001311396
-0.000327849,1.099988305,1.085617587,-0.000450792
-0.000150264,1.100015626,1.085672229,-0.000177585
-0.000122943,1.099960985,1.085836153,-6.83E-05
-0.000122943,1.099988305,1.086000078,0
-0.004781132,1.026031017,1.087652984,-1.37E-05
-0.022553285,0.454863278,1.094770041,2.73E-05
0.006611623,0.158610653,1.089524456,-4.10E-05
0.017266718,0.084830949,4.013104968,-0.000163925
-0.956977805,-1.099947324,1.095931173,-1.100562041
-1.089032682,-1.100001966,1.085084833,-1.100220532
-1.103458042,-1.099960985,1.083650493,-1.100234192
-1.097788985,-1.100015626,1.085440003,-1.10016589
-1.096354645,-1.100001966,1.085289738,-1.100206872
-1.096354645,-1.100015626,1.084593059,-1.100206872
-1.096327324,-1.100029287,1.084210568,-1.100179551
-1.096245362,-1.100015626,1.08391004,-1.10015223
-1.09619072,-1.100029287,1.083595851,-1.10016589
-1.096013135,-1.100001966,1.08318604,-1.100302494
-1.095944833,-1.099988305,1.082844531,-1.100220532
-1.091450569,-1.026003696,1.080795474,-1.10015223
-1.06477185,-0.454794976,1.071069285,-1.100329815
-1.082598644,-0.158569672,1.052409208,-1.100288834
-1.101982721,-0.055310872,0.535923963,-1.100206872
-1.10699608,-0.019274794,0.185180089,-1.100275173
-5.826287966,-0.010299925,0.096483252,-5.589471647
-0.861942552,-1.100001966,1.091682795,-1.100411777
-1.063624378,-1.100015626,1.082011248,-1.100206872
-1.107446872,-1.100029287,1.079238191,-1.100247853
-1.099455551,-1.100015626,0.942101653,-1.097720683
-0.890697649,-1.100015626,0.378693008,-0.630262536
-0.343531194,-1.896825495,0.19640892,-0.337711873
-0.037743625,-1.100029287,-1.090699248,0.000109283
0.021720002,-1.092365814,-1.119522646,-8.20E-05
0.040229814,-0.599963817,-1.138032459,-0.000150264
0.004808453,-0.209195034,-1.129590345,1.37E-05
-0.016897888,-0.07293276,-1.11964559,8.20E-05
-0.010791699,-0.039055022,-5.387571255,0.000204906
0,0,0,0
