a,b,c,d,e,f
-0.27341491,-0.643731296,0.440315008,-0.272497445,-0.648878872,0.413215637
-0.272497445,-0.648878872,0.413215637,-0.272281826,-0.650635421,0.389459908
-0.272281826,-0.650635421,0.389459908,-0.272328407,-0.651197851,0.366230011
-0.272328407,-0.651197851,0.366230011,-0.27230221,-0.651159108,0.342721283
-0.27230221,-0.651159108,0.342721283,-0.27240175,-0.651480138,0.320849836
-0.27240175,-0.651480138,0.320849836,-0.275424987,-0.670836568,0.311013222
-0.275424987,-0.670836568,0.311013222,-0.274987489,-0.667808235,0.290318727
-0.274987489,-0.667808235,0.290318727,-0.275076717,-0.670428813,0.26125282
-0.275076717,-0.670428813,0.26125282,-0.278576493,-0.673461318,0.280604005
-0.278576493,-0.673461318,0.280604005,-0.280514836,-0.673809052,0.306020677
-0.280514836,-0.673809052,0.306020677,-0.281139493,-0.67512542,0.329083502
-0.281139493,-0.67512542,0.329083502,-0.281292051,-0.675902963,0.352168143
-0.281292051,-0.675902963,0.352168143,-0.281291217,-0.675714254,0.37574482
-0.281291217,-0.675714254,0.37574482,-0.281151593,-0.674690604,0.399477124
-0.281151593,-0.674690604,0.399477124,-0.280882269,-0.672866881,0.423315227
-0.280882269,-0.672866881,0.423315227,-0.280479372,-0.670215309,0.447262406
-0.280479372,-0.670215309,0.447262406,-0.279935539,-0.666710615,0.47129792
-0.279935539,-0.666710615,0.47129792,-0.279243529,-0.662362397,0.495371878
-0.279243529,-0.662362397,0.495371878,-0.278452694,-0.657252371,0.519118369
-0.278452694,-0.657252371,0.519118369,-0.278265655,-0.654904723,0.536545217
-0.278265655,-0.654904723,0.536545217,-0.278559834,-0.656436741,0.548108757
-0.278559834,-0.656436741,0.548108757,-0.275862992,-0.641292989,0.56126684
-0.275862992,-0.641292989,0.56126684,-0.28682977,-0.645058513,0.560554326
-0.28682977,-0.645058513,0.560554326,-0.302796066,-0.65081197,0.556554496
-0.302796066,-0.65081197,0.556554496,-0.318085164,-0.655929327,0.555020034
-0.318085164,-0.655929327,0.555020034,-0.333303481,-0.660670817,0.554170907
-0.333303481,-0.660670817,0.554170907,-0.349010557,-0.66542685,0.552847564
-0.349010557,-0.66542685,0.552847564,-0.365084499,-0.669902027,0.551236451
-0.365084499,-0.669902027,0.551236451,-0.381406248,-0.673955202,0.549464524
-0.381406248,-0.673955202,0.549464524,-0.398010105,-0.677592039,0.547480881
-0.398010105,-0.677592039,0.547480881,-0.414879292,-0.680793583,0.545268834
-0.414879292,-0.680793583,0.545268834,-0.432007462,-0.683556974,0.542831481
-0.432007462,-0.683556974,0.542831481,-0.449367732,-0.685899377,0.540158808
-0.449367732,-0.685899377,0.540158808,-0.466960996,-0.687773347,0.537262022
-0.466960996,-0.687773347,0.537262022,-0.48424387,-0.688339412,0.536749065
-0.48424387,-0.688339412,0.536749065,-0.499354273,-0.683791399,0.545522511
-0.499354273,-0.683791399,0.545522511,-0.513054788,-0.675663352,0.557493865
-0.513054788,-0.675663352,0.557493865,-0.526259422,-0.665976048,0.562421739
-0.526259422,-0.665976048,0.562421739,-0.539759934,-0.65651226,0.562859952
-0.539759934,-0.65651226,0.562859952,-0.593169749,-0.609907091,0.563255966
-0.593169749,-0.609907091,0.563255966,-0.607497275,-0.611885071,0.564518034
