a,b,c
-0.512560121242434,-0.47902185720127,0.2
-0.512560121242434,-0.47902185720127,0.2
-0.812560121242434,-0.47902185720127,0.2
-0.812560121242434,-0.47902185720127,0.2
-0.662560121242434,-0.67902185720127,0.2
-0.662560121242434,-0.67902185720127,0.2
-0.522581033921004,-0.477200840476939,0.2
-0.522581033921004,-0.477200840476939,0.2
-0.822581033921004,-0.477200840476939,0.2
-0.822581033921004,-0.477200840476939,0.2
-0.672581033921004,-0.477200840476939,0.2
-0.672581033921004,-0.477200840476939,0.2
-0.538319847245578,-0.470108076875036,0.2
-0.538319847245578,-0.470108076875036,0.2
-0.688319847245578,-0.470108076875036,0.2
-0.688319847245578,-0.470108076875036,0.2
-0.688319847245578,-0.670108076875036,0.2
-0.688319847245578,-0.670108076875036,0.2
-0.516904133416672,-0.467183656587811,0.2
-0.516904133416672,-0.467183656587811,0.2
-0.666904133416672,-0.467183656587811,0.2
-0.666904133416672,-0.467183656587811,0.2
-0.816904133416672,-0.467183656587811,0.2
-0.816904133416672,-0.467183656587811,0.2
-0.673805020660229,-0.487585554184663,0.2
-0.673805020660229,-0.487585554184663,0.2
-0.673805020660229,-0.687585554184663,0.2
-0.673805020660229,-0.687585554184663,0.2
-0.823805020660229,-0.487585554184663,0.2
-0.823805020660229,-0.487585554184663,0.2
-0.679003182328096,-0.492193858700945,0.2
-0.679003182328096,-0.492193858700945,0.2
-0.679003182328096,-0.692193858700945,0.2
-0.679003182328096,-0.692193858700945,0.2
-0.529003182328096,-0.492193858700945,0.2
-0.529003182328096,-0.492193858700945,0.2
-0.670945366028068,-0.475320734417083,0.2
-0.670945366028068,-0.475320734417083,0.2
-0.820945366028068,-0.475320734417083,0.2
-0.820945366028068,-0.475320734417083,0.2
-0.670945366028068,-0.675320734417083,0.2
-0.670945366028068,-0.675320734417083,0.2
-0.666931226931918,-0.461315145138266,0.2
-0.666931226931918,-0.461315145138266,0.2
-0.816931226931918,-0.461315145138266,0.2
-0.816931226931918,-0.461315145138266,0.2
-0.516931226931918,-0.461315145138266,0.2
-0.516931226931918,-0.461315145138266,0.2
-0.656716434545552,-0.471318862353637,0.2
-0.656716434545552,-0.471318862353637,0.2
-0.506716434545552,-0.471318862353637,0.2
-0.506716434545552,-0.471318862353637,0.2
-0.656716434545552,-0.671318862353637,0.2
-0.656716434545552,-0.671318862353637,0.2
-0.675943014769421,-0.48617112894017,0.2
-0.675943014769421,-0.48617112894017,0.2
-0.525943014769421,-0.48617112894017,0.2
-0.525943014769421,-0.48617112894017,0.2
-0.825943014769421,-0.48617112894017,0.2
-0.825943014769421,-0.48617112894017,0.2
-0.686958290731964,-0.663410374803939,0.2
-0.686958290731964,-0.663410374803939,0.2
