a,b,c
-0.30012608,-0.62127054,0.26329243
-0.30078572,-0.59218532,0.5633226
-0.57198346,-0.48281103,0.56266004
-0.67209989,-0.48283112,0.51175088
-0.67136979,-0.48227924,0.36173958
-0.67136979,-0.48227924,0.36173958
-0.58895326,-0.48017722,0.56245619
-0.68908817,-0.48018098,0.5115152
-0.68837637,-0.47977209,0.36153167
-0.68837637,-0.47977209,0.36153167
-0.5601716,-0.45233107,0.56308395
-0.6603182,-0.45234102,0.51218575
-0.65954804,-0.45192373,0.36205041
-0.65954804,-0.45192373,0.36205041
-0.57224995,-0.48745155,0.56267953
-0.67239308,-0.48748288,0.51179075
-0.67161447,-0.48697719,0.36170655
-0.67161447,-0.48697719,0.36170655
-0.56045872,-0.48125654,0.5627287
-0.66056705,-0.48127043,0.5118553
-0.65987855,-0.48082948,0.36176085
-0.65987855,-0.48082948,0.36176085
-0.58014947,-0.47912186,0.5627014
-0.68022442,-0.47919405,0.51182753
-0.67952728,-0.47875226,0.36173242
-0.67952728,-0.47875226,0.36173242
-0.58023852,-0.48787019,0.56295502
-0.68035311,-0.48793152,0.51208282
-0.67963284,-0.48746482,0.36209166
-0.67963284,-0.48746482,0.36209166
-0.56641924,-0.4634504,0.56320029
-0.66659528,-0.46348506,0.51234668
-0.66590387,-0.46314847,0.36217755
-0.66590387,-0.46314847,0.36217755
-0.59810805,-0.47874016,0.56669563
-0.69820392,-0.4788509,0.51583117
-0.69761837,-0.47844937,0.36572206
-0.69761837,-0.47844937,0.36572206
-0.5807963,-0.45856512,0.56331116
-0.68093306,-0.45868635,0.51245636
-0.6802972,-0.45832965,0.36240166
-0.6802972,-0.45832965,0.36240166
-0.57303745,-0.47792318,0.57350749
-0.67313504,-0.47802112,0.52268392
-0.67250919,-0.47766095,0.37264645
-0.67250919,-0.47766095,0.37264645
-0.56178111,-0.4752,0.56707913
-0.66190326,-0.47531524,0.51626867
-0.66130531,-0.4749622,0.36623746
-0.66130531,-0.4749622,0.36623746
-0.593512,-0.48016968,0.56348008
-0.69363618,-0.48027951,0.51263148
-0.69299161,-0.47989509,0.3626619
-0.69299161,-0.47989509,0.3626619
-0.57819384,-0.45623249,0.56378049
-0.67831337,-0.45636147,0.51298362
-0.67772377,-0.45604354,0.36298162
-0.67772377,-0.45604354,0.36298162
-0.57003063,-0.4536978,0.56487173
-0.67015553,-0.4538379,0.51408595
-0.66958809,-0.4535054,0.36411875
-0.66958809,-0.4535054,0.36411875
-0.58657062,-0.46434864,0.56362945
-0.68669665,-0.46448594,0.51282007
-0.68613225,-0.46418279,0.36279708
-0.68613225,-0.46418279,0.36279708
