a,b,c,d,e,f
-0.65911609,-0.48957264,0.19961256,-0.65987855,-0.48082948,0.36176085
-0.6787352,-0.48749828,0.19964397,-0.30091068,-0.59285545,0.56235546
-0.6787352,-0.48749828,0.19964397,-0.58014947,-0.47912186,0.5627014
-0.6787352,-0.48749828,0.19964397,-0.68022442,-0.47919405,0.51182753
-0.6787352,-0.48749828,0.19964397,-0.67952728,-0.47875226,0.36173242
-0.67885607,-0.49623066,0.1999315,-0.30099133,-0.59283876,0.56236422
-0.67885607,-0.49623066,0.1999315,-0.58023852,-0.48787019,0.56295502
-0.67885607,-0.49623066,0.1999315,-0.68035311,-0.48793152,0.51208282
-0.67885607,-0.49623066,0.1999315,-0.67963284,-0.48746482,0.36209166
-0.66520578,-0.47200498,0.19963562,-0.30093572,-0.59272093,0.56263489
-0.66520578,-0.47200498,0.19963562,-0.56641924,-0.4634504,0.56320029
-0.66520578,-0.47200498,0.19963562,-0.66659528,-0.46348506,0.51234668
-0.66520578,-0.47200498,0.19963562,-0.66590387,-0.46314847,0.36217755
-0.69684368,-0.48724008,0.20344537,-0.30085966,-0.59268892,0.56263703
-0.69684368,-0.48724008,0.20344537,-0.59810805,-0.47874016,0.56669563
-0.69684368,-0.48724008,0.20344537,-0.69820392,-0.4788509,0.51583117
-0.69684368,-0.48724008,0.20344537,-0.69761837,-0.47844937,0.36572206
-0.67961794,-0.46720067,0.19979101,-0.30088532,-0.59261352,0.56265122
-0.67961794,-0.46720067,0.19979101,-0.5807963,-0.45856512,0.56331116
-0.67961794,-0.46720067,0.19979101,-0.68093306,-0.45868635,0.51245636
-0.67961794,-0.46720067,0.19979101,-0.6802972,-0.45832965,0.36240166
-0.67179829,-0.48651144,0.209975,-0.30089542,-0.59258175,0.56272298
-0.67179829,-0.48651144,0.209975,-0.57303745,-0.47792318,0.57350749
-0.67179829,-0.48651144,0.209975,-0.67313504,-0.47802112,0.52268392
-0.67179829,-0.48651144,0.209975,-0.67250919,-0.47766095,0.37264645
-0.66066641,-0.48386636,0.20337492,-0.30087939,-0.59253991,0.56279153
-0.66066641,-0.48386636,0.20337492,-0.56178111,-0.4752,0.56707913
-0.66066641,-0.48386636,0.20337492,-0.66190326,-0.47531524,0.51626867
-0.66066641,-0.48386636,0.20337492,-0.66130531,-0.4749622,0.36623746
-0.69231707,-0.48876005,0.20000648,-0.30088383,-0.5925259,0.562805
-0.69231707,-0.48876005,0.20000648,-0.593512,-0.48016968,0.56348008
-0.69231707,-0.48876005,0.20000648,-0.69363618,-0.48027951,0.51263148
-0.69231707,-0.48876005,0.20000648,-0.69299161,-0.47989509,0.3626619
-0.67713863,-0.46498728,0.19997483,-0.30085137,-0.59246176,0.56290442
-0.67713863,-0.46498728,0.19997483,-0.57819384,-0.45623249,0.56378049
-0.67713863,-0.46498728,0.19997483,-0.67831337,-0.45636147,0.51298362
-0.67713863,-0.46498728,0.19997483,-0.67772377,-0.45604354,0.36298162
-0.66903991,-0.46248463,0.20095992,-0.30084082,-0.59244394,0.56293958
-0.66903991,-0.46248463,0.20095992,-0.57003063,-0.4536978,0.56487173
-0.66903991,-0.46248463,0.20095992,-0.67015553,-0.4538379,0.51408595
-0.66903991,-0.46248463,0.20095992,-0.66958809,-0.4535054,0.36411875
-0.68555039,-0.47312686,0.19976646,-0.30081552,-0.59237987,0.56303817
-0.68555039,-0.47312686,0.19976646,-0.58657062,-0.46434864,0.56362945
-0.68555039,-0.47312686,0.19976646,-0.68669665,-0.46448594,0.51282007
-0.68555039,-0.47312686,0.19976646,-0.68613225,-0.46418279,0.36279708
-0.68726182,-0.49104217,0.19964129,-0.30082268,-0.59233421,0.56310123
-0.68726182,-0.49104217,0.19964129,-0.58836967,-0.48229176,0.56346303
-0.68726182,-0.49104217,0.19964129,-0.68848133,-0.48243126,0.51266068
-0.68726182,-0.49104217,0.19964129,-0.68785948,-0.4821195,0.36263353
-0.68277735,-0.46877983,0.19989026,-0.30079508,-0.5923084,0.56313759
-0.68277735,-0.46877983,0.19989026,-0.58372611,-0.4599264,0.56391245
-0.68277735,-0.46877983,0.19989026,-0.68384993,-0.46007976,0.513138
-0.68277735,-0.46877983,0.19989026,-0.68329799,-0.45977446,0.36317843
-0.66989201,-0.4845292,0.19983095,-0.30078676,-0.59222406,0.56326741
-0.66989201,-0.4845292,0.19983095,-0.57080656,-0.47563261,0.56399304
-0.66989201,-0.4845292,0.19983095,-0.6709258,-0.47577995,0.51324064
-0.66989201,-0.4845292,0.19983095,-0.67039526,-0.47551742,0.36321133
-0.67687452,-0.48297885,0.199808,-0.30078572,-0.59218532,0.5633226
-0.67687452,-0.48297885,0.199808,-0.57779169,-0.47405618,0.56399959
-0.67687452,-0.48297885,0.199808,-0.6778897,-0.47422901,0.51323384
-0.67687452,-0.48297885,0.199808,-0.67737311,-0.47395146,0.36322194
-0.67643213,-0.49856949,0.19999999,-0.1972301,-0.59337425,0.5621652
-0.67643213,-0.49856949,0.19999999,-0.47786584,-0.49055395,0.5615955
-0.67643213,-0.49856949,0.19999999,-0.57800549,-0.4905259,0.5107705
-0.67643213,-0.49856949,0.19999999,-0.57723039,-0.48999894,0.36031526
-0.67632365,-0.49390131,0.20101482,-0.19716457,-0.59339261,0.56227547
-0.67632365,-0.49390131,0.20101482,-0.4779112,-0.48583815,0.56172675
-0.67632365,-0.49390131,0.20101482,-0.57789606,-0.48582935,0.51087481
-0.67632365,-0.49390131,0.20101482,-0.57713753,-0.48532808,0.3602832
-0.69042343,-0.47046566,0.19944811,-0.1971173,-0.59350777,0.56221682
-0.69042343,-0.47046566,0.19944811,-0.4920412,-0.46244568,0.56169552
-0.69042343,-0.47046566,0.19944811,-0.59208024,-0.46251887,0.51080936
-0.69042343,-0.47046566,0.19944811,-0.59124458,-0.46189663,0.36022252
-0.68654746,-0.46937984,0.19992572,-0.19712035,-0.59360623,0.56177109
-0.68654746,-0.46937984,0.19992572,-0.48793745,-0.46143994,0.56132871
-0.68654746,-0.46937984,0.19992572,-0.58802271,-0.46139842,0.51045805
-0.68654746,-0.46937984,0.19992572,-0.58738458,-0.46082941,0.36018443
-0.69544816,-0.47695351,0.19964504,-0.19724403,-0.59370172,0.56171244
-0.69544816,-0.47695351,0.19964504,-0.49711177,-0.46911079,0.56110686
-0.69544816,-0.47695351,0.19964504,-0.59724468,-0.46908468,0.51019889
-0.69544816,-0.47695351,0.19964504,-0.59634483,-0.4684366,0.36001581
-0.6802702,-0.47470209,0.20145696,-0.19712545,-0.59369725,0.56164795
-0.6802702,-0.47470209,0.20145696,-0.48020956,-0.46636981,0.56120509
